step,row,col,action,decision,resource_before,resource_after,v_stay,v_leave,can_scan_here,can_move_neighbors,hidden_local,hidden_global,total_moves,visited_here,overall_label,explorer_label,mine_id,revealed_cat,move_probs,cfg_init_resource,cfg_move_cost,cfg_scan_cost,cfg_gamma,cfg_beta_local,cfg_beta_global,cfg_avoid_base,cfg_no_backtrack
0,0,1,move,leave,200.0,196.0,0.0,6.0,False,True,2,15,1,True,poor,None,,,"[0.3333, 0.3333, 0.1667, 0.1667]",200,4,2,1.0,0.6,0.4,True,True
1,0,2,move,leave,196.0,192.0,1.2,5.2,True,True,3,15,2,True,rich,None,,,"[0.4, 0.6]",200,4,2,1.0,0.6,0.4,True,True
2,1,2,move,leave,192.0,188.0,1.7999999999999998,4.800000000000001,True,True,1,15,3,True,neutral,None,,,[1.0],200,4,2,1.0,0.6,0.4,True,True
3,2,2,move,leave,188.0,184.0,0.6,5.6000000000000005,True,True,2,15,4,True,poor,None,,,[1.0],200,4,2,1.0,0.6,0.4,True,True
4,2,1,move,leave,184.0,180.0,1.2,5.2,True,True,2,15,5,True,rich,None,,,[1.0],200,4,2,1.0,0.6,0.4,True,True
5,2,0,move,leave,180.0,176.0,1.2,5.2,True,True,2,15,6,True,neutral,None,,,[1.0],200,4,2,1.0,0.6,0.4,True,True
6,1,0,move,leave,176.0,172.0,1.2,5.2,True,True,1,15,7,True,neutral,None,,,[1.0],200,4,2,1.0,0.6,0.4,True,True
7,0,0,move,leave,172.0,168.0,0.6,5.6000000000000005,True,True,2,15,8,True,poor,None,,,[1.0],200,4,2,1.0,0.6,0.4,True,True
8,0,0,scan,scan_here,168.0,166.0,1.2,5.2,True,False,1,14,8,True,poor,None,1.0,poor,,200,4,2,1.0,0.6,0.4,True,True
9,0,0,halt,no_actions_left,166.0,166.0,0.6,5.2,False,False,1,14,8,True,poor,None,,,,200,4,2,1.0,0.6,0.4,True,True
